dates,products,state,US,amount,card,fico,balance,income,Fraud
12/6/22,Dining,AL,TRUE,103.36,Amex,834,-298.1,104000,0
10/10/22,Shopping,CA,TRUE,46.83,Visa,671,10742.99,138000,0
6/2/22,Entertainment,AL,TRUE,332.25,Visa,541,6548.43,86000,0
9/25/22,Dining,AZ,TRUE,452.21,Amex,770,14311.15,340000,0
5/26/22,Entertainment,AL,TRUE,313.77,Amex,451,2165.65,55000,0
7/22/22,Shopping,NA,FALSE,76.15,Amex,741,1471.06,130000,1
6/11/22,Groceries,NH,TRUE,76.21,Visa,850,2271.59,151000,0
7/23/22,Shopping,AL,TRUE,63.94,Mastercard,577,1490.51,22000,0
5/6/22,Groceries,AK,TRUE,85.12,Mastercard,750,1004.61,167000,0
7/16/22,Entertainment,NA,FALSE,297.97,Amex,432,3639.88,88000,0
2/7/22,Shopping,AK,TRUE,144.2,Mastercard,652,1195.17,155000,0
3/3/22,Shopping,AL,TRUE,65.26,Discover,708,1561.94,156000,1
11/9/22,Groceries,NA,FALSE,1134.8,Amex,767,23752.62,433000,1
9/6/22,Shopping,AL,TRUE,46.46,Mastercard,630,10335.46,111000,0
11/28/22,Groceries,NA,FALSE,86.55,Mastercard,786,10692.88,67000,0
9/18/22,Entertainment,AL,TRUE,275.9,Amex,579,5885.52,97000,0
7/6/22,Groceries,AL,TRUE,150.61,Amex,531,5556.87,82000,0
10/12/22,Shopping,AK,TRUE,76.14,Mastercard,544,4684.16,67000,1
3/15/22,Entertainment,AL,TRUE,89.72,Discover,626,1320.17,20000,0
12/7/22,Entertainment,NA,FALSE,195.5,Amex,590,2155.17,138000,0
10/3/22,Groceries,AK,TRUE,145.15,Amex,569,1539.95,17000,0
3/5/22,Groceries,AL,TRUE,179.71,Visa,597,2072.11,15000,0
6/19/22,Entertainment,NA,FALSE,48.63,Mastercard,684,2956.46,30000,0
12/9/22,Shopping,AK,TRUE,104.94,Discover,668,1113.18,19000,0
11/27/22,Groceries,AL,TRUE,255.81,Discover,600,1350.59,22000,0
7/19/22,Dining,AK,TRUE,114.2,Visa,633,10044.62,102000,0
6/24/22,Entertainment,AL,TRUE,223.09,Visa,757,1553.26,145000,0
3/26/22,Travel,NA,FALSE,983.1,Amex,631,1206.63,32000,1
5/7/22,Entertainment,AL,TRUE,273.24,Amex,504,5504.27,65000,0
11/8/22,Shopping,NA,FALSE,251.41,Mastercard,648,6488.25,58000,0
12/17/22,Groceries,AK,TRUE,172.91,Discover,588,1298.6,19000,0
12/19/22,Entertainment,AZ,TRUE,50.09,Mastercard,672,2788.47,28000,0
11/4/22,Entertainment,AL,TRUE,186.82,Mastercard,687,2212.09,139000,0
5/28/22,Shopping,AZ,TRUE,71.68,Discover,645,1182.77,27000,0
1/5/22,Groceries,AZ,TRUE,108.34,Visa,738,1775.91,29000,0
11/22/22,Dining,NA,FALSE,154.96,Mastercard,662,5329.87,87000,0
2/13/22,Dining,ID,TRUE,143.76,Visa,581,750.09,18000,0
10/21/22,Entertainment,AK,TRUE,322.08,Visa,496,5995.56,77000,0
9/18/22,Shopping,AR,TRUE,108.17,Visa,703,2403.57,36000,0
12/27/22,Entertainment,NA,FALSE,294.79,Amex,525,6594.39,83000,0
4/13/22,Shopping,NA,FALSE,143.88,Amex,757,1287.86,133000,0
2/7/22,Shopping,AL,TRUE,83.68,Visa,581,1778.4,24000,1
10/21/22,Entertainment,AL,TRUE,209.19,Amex,592,1318.57,150000,0
9/19/22,Shopping,MD,TRUE,48.71,Mastercard,593,10207.08,89000,0
11/2/22,Shopping,AL,TRUE,262.96,Amex,570,3148.53,68000,0
12/30/22,Dining,AL,TRUE,115.38,Visa,564,1664.94,24000,0
5/14/22,Groceries,AR,TRUE,337.84,Amex,766,13765.61,497000,0
3/20/22,Groceries,AR,TRUE,84.25,Amex,792,713.81,164000,0
5/28/22,Dining,CA,TRUE,125.97,Visa,554,1501.6,25000,0
12/17/22,Shopping,NA,FALSE,251.74,Visa,624,5127.95,80000,0
8/8/22,Shopping,NA,FALSE,65.42,Visa,706,-886.57,156000,1
3/10/22,Dining,AL,TRUE,96.57,Amex,563,2352.12,131000,0
10/21/22,Entertainment,AR,TRUE,316.11,Amex,589,5883.55,92000,0
3/12/22,Travel,AL,TRUE,1054.78,Amex,760,-363.78,159000,0
12/13/22,Shopping,AL,TRUE,37.33,Visa,727,936.59,38000,1
4/21/22,Groceries,AL,TRUE,117.26,Visa,649,1986.71,53000,0
9/4/22,Entertainment,NA,FALSE,127.34,Visa,576,2417.87,16000,0
9/3/22,Entertainment,AZ,TRUE,296.77,Amex,655,5753.79,88000,0
7/14/22,Entertainment,AZ,TRUE,278.74,Mastercard,494,4952.5,53000,0
5/26/22,Shopping,AL,TRUE,81.18,Visa,587,1845.03,18000,0
5/1/22,Dining,AK,TRUE,135.77,Visa,596,1642.86,19000,0
4/16/22,Dining,AL,TRUE,91.08,Amex,728,1863.81,129000,0
3/10/22,Groceries,AK,TRUE,73.53,Mastercard,716,1007.85,157000,0
9/11/22,Dining,AL,TRUE,172.87,Amex,525,7360.99,82000,0
11/1/22,Shopping,AL,TRUE,263.23,Amex,597,5492.22,83000,0
